Drug,Y
CCOC(=O)CCNc1cc(nc(n1)-c1ccccn1)N1CCc2ccccc2CC1,-0.432479074
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)c1[nH]c2[C@@H]4Oc6c7c(C[C@H]8N(CC9CC9)CC[C@@]47[C@@]8(O)Cc2c1C[C@@]35O)ccc6O,0.091705394
O=C(N1CCC(CC1)N1CCCC1)c1ccc(C(=O)N2CCC(CC2)N2CCCC2)c(Nc2ccccc2)c1,-0.377918777
C1CN=C(N1)c1cc2ccccc2o1,0.330361811
CC(=O)c1cc(c(Sc2ccc(F)cc2F)s1)[N+]([O-])=O,-0.278679553
CN1CCN(CC1)C(C)=O,0.387423654
Cc1cc(ccn1)-c1ncc(CC(=O)Nc2ccc(cn2)-c2cnccn2)cc1C,-0.221547696
CC(=O)N1CC[N+](C)(C)CC1,-0.22339684
Nc1ccc2ncnc(NCCc3ccc(Oc4ccccc4)cc3)c2c1,-0.135130784
CC(=O)NCCc1c[nH]c2ccccc12,0.082118426
CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc2c(N)ncnc12,0.765948787
C(C(N1CCCCC1)c1ccccc1)c1ccccc1,-0.892195119
Cc1nn(c(C)c1\C=N\N1CCN(Cc2ccccc2)CC1)-c1ccccc1,0.400195527
NS(=O)(=O)c1cccc2c1c(cc1[nH]c(=O)c(=O)[nH]c21)[N+]([O-])=O,-0.185183408
Fc1ccc2c(c1)nc(NNC(=O)c1cnccn1)c1cccn21,-1.425082153
NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,0.422310815
OC(C1CCN(CC1)C(=O)Oc1ccc(cc1)[N+]([O-])=O)(c1ccc2OCOc2c1)c1ccc2OCOc2c1,0.088939885
CCc1cncnc1N1CCN(CC1)Cc1nc2cc(ccc2[nH]1)C(F)(F)F,0.157836125
NCCCC[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](NC(=O)[C@@H]2C[C@H](CN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(OCc3ccccc3)cc2)NC1=O)OC(=O)NCCN)c1ccccc1,-0.087861965
COC(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)c1ccc(C)cc1,0.066326125
COc1ccc(Nc2ccn(n2)-c2ccccc2)cc1,-0.295640687
O=C(Nc1ncc(SCCN2CCCC2)s1)[C@@]1(C[C@H]1C1CCCCC1)c1ccc(cc1)S(=O)(=O)C1CC1,-1.122876468
